city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,is_stem_major,experience_level,is_active_learner,stability_col
city_64,0.6659999999999999,Unknown,No relevent experience,no_enrollment,Graduate,No Major,9.0,75.0,Pvt Ltd,0.0,108.0,0.0,0.0,2.0,0.0,0.0
city_21,0.624,Male,Has relevent experience,Part time course,Masters,STEM,9.0,7500.0,Pvt Ltd,3.0,7.0,1.0,1.0,2.0,1.0,0.33
city_21,0.624,Female,No relevent experience,Full time course,Masters,STEM,5.0,300.0,Unknown,0.0,26.0,1.0,1.0,1.0,1.0,0.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5.0,300.0,Pvt Ltd,0.0,87.0,1.0,1.0,1.0,0.0,0.0
city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,19.0,10005.0,Public Sector,4.0,52.0,1.0,1.0,3.0,0.0,0.21
city_101,0.5579999999999999,Male,Has relevent experience,no_enrollment,Graduate,No Major,15.0,300.0,Unknown,5.0,20.0,1.0,0.0,2.0,0.0,0.33
city_83,0.9229999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,11.0,10.0,Pvt Ltd,1.0,21.0,0.0,1.0,2.0,0.0,0.09
city_101,0.5579999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,4.0,300.0,Unknown,1.0,92.0,1.0,1.0,1.0,0.0,0.25
city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,10.0,300.0,Pvt Ltd,2.0,102.0,0.0,1.0,2.0,0.0,0.2
city_105,0.794,Male,No relevent experience,no_enrollment,Graduate,Humanities,5.0,10005.0,Pvt Ltd,5.0,26.0,0.0,0.0,1.0,0.0,1.0
city_104,0.924,Unknown,Has relevent experience,no_enrollment,Masters,STEM,3.0,9.0,Early Stage Startup,2.0,7.0,0.0,1.0,1.0,0.0,0.67
city_114,0.9259999999999999,Male,No relevent experience,Full time course,High School,Unknown,4.0,10005.0,Pvt Ltd,1.0,43.0,0.0,0.0,1.0,1.0,0.25
city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,300.0,Pvt Ltd,1.0,45.0,0.0,1.0,3.0,0.0,0.05
city_73,0.754,Male,Has relevent experience,Full time course,Graduate,STEM,2.0,75.0,Early Stage Startup,2.0,52.0,0.0,1.0,0.0,1.0,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,300.0,Unknown,2.0,19.0,0.0,1.0,3.0,0.0,0.1
city_21,0.624,Unknown,Has relevent experience,Full time course,Graduate,STEM,2.0,10.0,Funded Startup,1.0,32.0,1.0,1.0,0.0,1.0,0.5
city_162,0.767,Male,Has relevent experience,no_enrollment,Graduate,Humanities,21.0,300.0,Pvt Ltd,5.0,26.0,1.0,0.0,3.0,0.0,0.24
city_67,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,6.0,300.0,Unknown,1.0,90.0,0.0,1.0,1.0,1.0,0.17
city_75,0.9390000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,6.0,300.0,Pvt Ltd,3.0,25.0,0.0,1.0,1.0,0.0,0.5
city_41,0.8270000000000001,Unknown,Has relevent experience,Unknown,Masters,STEM,13.0,9.0,Unknown,1.0,15.0,0.0,1.0,2.0,0.0,0.08
city_100,0.887,Male,Has relevent experience,no_enrollment,Masters,Humanities,21.0,300.0,Pvt Ltd,5.0,48.0,0.0,0.0,3.0,0.0,0.24
city_11,0.55,Unknown,No relevent experience,Full time course,High School,Unknown,3.0,300.0,Unknown,1.0,98.0,0.0,0.0,1.0,1.0,0.33
city_93,0.865,Male,Has relevent experience,no_enrollment,Graduate,STEM,10.0,75.0,Pvt Ltd,2.0,142.0,1.0,1.0,2.0,0.0,0.2
city_67,0.855,Other,No relevent experience,no_enrollment,Masters,Humanities,4.0,10005.0,Pvt Ltd,4.0,13.0,0.0,0.0,1.0,0.0,1.0
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15.0,300.0,Unknown,5.0,47.0,0.0,1.0,2.0,0.0,0.33
city_16,0.91,Female,Has relevent experience,no_enrollment,Masters,Humanities,14.0,750.0,Public Sector,1.0,28.0,0.0,0.0,2.0,0.0,0.07
city_90,0.698,Unknown,No relevent experience,Unknown,Unknown,Unknown,2.0,300.0,Pvt Ltd,0.0,185.5,1.0,0.0,0.0,0.0,0.0
city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,300.0,Unknown,4.0,22.0,0.0,1.0,3.0,0.0,0.19
city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,0.0,300.0,Unknown,0.0,18.0,1.0,1.0,0.0,1.0,0.0
city_13,0.8270000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,2.0,10.0,Pvt Ltd,1.0,29.0,0.0,1.0,0.0,0.0,0.5
city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,5.0,300.0,Unknown,1.0,46.0,0.0,1.0,1.0,0.0,0.2
city_11,0.55,Unknown,No relevent experience,Full time course,Graduate,STEM,0.0,300.0,Unknown,0.0,12.0,0.0,1.0,0.0,1.0,0.0
city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,5.0,300.0,Pvt Ltd,2.0,17.0,0.0,1.0,1.0,0.0,0.4
city_36,0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,5.0,75.0,Pvt Ltd,2.0,65.0,0.0,1.0,1.0,0.0,0.4
city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,Humanities,3.0,300.0,Pvt Ltd,1.0,35.0,0.0,0.0,1.0,0.0,0.33
city_67,0.855,Male,No relevent experience,Full time course,Graduate,STEM,9.0,10005.0,Pvt Ltd,3.0,14.0,0.0,1.0,2.0,1.0,0.33
city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,2.0,9.0,Early Stage Startup,1.0,4.0,0.0,1.0,0.0,0.0,0.5
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15.0,75.0,Pvt Ltd,5.0,12.0,0.0,1.0,2.0,0.0,0.33
city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,75.0,Pvt Ltd,2.0,108.0,0.0,1.0,3.0,0.0,0.1
city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,21.0,300.0,Unknown,1.0,136.0,0.0,1.0,3.0,0.0,0.05
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5.0,10.0,Unknown,1.0,27.0,0.0,1.0,1.0,0.0,0.2
city_20,0.7959999999999999,Unknown,Has relevent experience,Part time course,Masters,STEM,4.0,75.0,Funded Startup,1.0,74.0,0.0,1.0,1.0,1.0,0.25
city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,15.0,10.0,Early Stage Startup,1.0,86.0,0.0,1.0,2.0,0.0,0.07
city_57,0.866,Female,No relevent experience,Part time course,Graduate,STEM,0.0,10.0,Pvt Ltd,0.0,83.0,0.0,1.0,0.0,1.0,0.0
city_103,0.92,Unknown,No relevent experience,Full time course,High School,Unknown,4.0,300.0,Unknown,3.0,75.0,0.0,0.0,1.0,1.0,0.75
city_152,0.698,Male,No relevent experience,Full time course,Masters,STEM,11.0,300.0,Public Sector,2.0,42.0,0.0,1.0,2.0,1.0,0.18
city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6.0,300.0,Unknown,1.0,185.5,0.0,1.0,1.0,0.0,0.17
city_61,0.9129999999999999,Male,No relevent experience,Full time course,Graduate,STEM,4.0,300.0,Unknown,1.0,140.0,0.0,1.0,1.0,1.0,0.25
city_16,0.91,Male,No relevent experience,no_enrollment,High School,Unknown,3.0,300.0,Unknown,0.0,182.0,0.0,0.0,1.0,0.0,0.0
city_103,0.92,Female,No relevent experience,no_enrollment,Graduate,Humanities,3.0,300.0,Pvt Ltd,1.0,13.0,1.0,0.0,1.0,0.0,0.33
city_19,0.682,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,5.0,10.0,Pvt Ltd,2.0,172.0,1.0,1.0,1.0,0.0,0.4
city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,10.0,300.0,NGO,1.0,48.0,0.0,1.0,2.0,0.0,0.1
city_65,0.802,Male,Has relevent experience,Full time course,Graduate,STEM,9.0,75.0,Pvt Ltd,1.0,33.0,0.0,1.0,2.0,1.0,0.11
city_160,0.92,Unknown,No relevent experience,Full time course,High School,Unknown,2.0,300.0,Pvt Ltd,1.0,142.0,0.0,0.0,0.0,1.0,0.5
city_74,0.579,Unknown,No relevent experience,Full time course,Graduate,STEM,2.0,300.0,Pvt Ltd,1.0,34.0,0.0,1.0,0.0,1.0,0.5
city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,6.0,75.0,Pvt Ltd,2.0,14.0,1.0,1.0,1.0,0.0,0.33
city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,6.0,10.0,Pvt Ltd,2.0,27.0,1.0,1.0,1.0,0.0,0.33
city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,8.0,300.0,Pvt Ltd,1.0,24.0,1.0,1.0,2.0,0.0,0.12
city_173,0.878,Unknown,No relevent experience,no_enrollment,Masters,STEM,21.0,300.0,Unknown,1.0,150.0,0.0,1.0,3.0,0.0,0.05
city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,11.0,750.0,NGO,5.0,20.0,0.0,1.0,2.0,0.0,0.45
city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,5.0,750.0,Unknown,1.0,140.0,0.0,1.0,1.0,0.0,0.2
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,12.0,7500.0,Pvt Ltd,1.0,52.0,0.0,1.0,2.0,0.0,0.08
city_75,0.9390000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,75.0,Pvt Ltd,2.0,160.0,0.0,1.0,3.0,0.0,0.1
city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,9.0,7500.0,Pvt Ltd,2.0,3.0,0.0,1.0,2.0,0.0,0.22
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2.0,9.0,Pvt Ltd,2.0,2.0,1.0,1.0,0.0,0.0,1.0
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,3000.0,Pvt Ltd,5.0,28.0,0.0,1.0,3.0,0.0,0.24
city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,Other,21.0,300.0,Unknown,4.0,46.0,0.0,0.0,3.0,0.0,0.19
city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,8.0,75.0,Pvt Ltd,1.0,185.5,0.0,1.0,2.0,0.0,0.12
city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,10.0,9.0,Pvt Ltd,1.0,36.0,0.0,1.0,2.0,0.0,0.1
city_98,0.9490000000000001,Male,No relevent experience,Full time course,Graduate,STEM,4.0,300.0,Unknown,1.0,160.0,1.0,1.0,1.0,1.0,0.25
city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,2.0,10.0,NGO,2.0,101.0,0.0,1.0,0.0,1.0,1.0
city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,6.0,75.0,Unknown,1.0,46.0,0.0,1.0,1.0,0.0,0.17
city_97,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,3000.0,Pvt Ltd,5.0,19.0,0.0,1.0,3.0,0.0,0.24
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3.0,300.0,Pvt Ltd,2.0,26.0,1.0,1.0,1.0,0.0,0.67
city_90,0.698,Unknown,Has relevent experience,Full time course,Graduate,STEM,7.0,9.0,NGO,1.0,90.0,0.0,1.0,1.0,1.0,0.14
city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,9.0,9.0,Pvt Ltd,4.0,59.0,0.0,1.0,2.0,0.0,0.44
city_160,0.92,Male,Has relevent experience,Part time course,Graduate,Business Degree,10.0,75.0,Funded Startup,1.0,185.5,0.0,0.0,2.0,1.0,0.1
city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,11.0,75.0,Pvt Ltd,5.0,74.0,0.0,1.0,2.0,0.0,0.45
city_16,0.91,Male,Has relevent experience,no_enrollment,Phd,STEM,21.0,300.0,Pvt Ltd,2.0,20.0,1.0,1.0,3.0,0.0,0.1
city_173,0.878,Male,Has relevent experience,no_enrollment,Graduate,STEM,12.0,300.0,Pvt Ltd,2.0,8.0,0.0,1.0,2.0,0.0,0.17
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6.0,300.0,Pvt Ltd,1.0,131.0,0.0,1.0,1.0,0.0,0.17
city_138,0.836,Male,Has relevent experience,Full time course,Masters,STEM,7.0,300.0,Unknown,1.0,45.0,0.0,1.0,1.0,1.0,0.14
city_82,0.693,Male,Has relevent experience,Full time course,Graduate,STEM,11.0,10.0,Pvt Ltd,2.0,109.0,0.0,1.0,2.0,1.0,0.18
city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,Humanities,3.0,300.0,Pvt Ltd,1.0,70.0,0.0,0.0,1.0,0.0,0.33
city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,21.0,300.0,NGO,5.0,17.0,0.0,1.0,3.0,0.0,0.24
city_103,0.92,Female,No relevent experience,no_enrollment,Masters,STEM,15.0,75.0,Pvt Ltd,1.0,51.0,0.0,1.0,2.0,0.0,0.07
city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6.0,75.0,Pvt Ltd,3.0,60.0,1.0,1.0,1.0,0.0,0.5
city_36,0.893,Unknown,No relevent experience,no_enrollment,Phd,STEM,21.0,3000.0,Public Sector,5.0,4.0,0.0,1.0,3.0,0.0,0.24
city_114,0.9259999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,12.0,300.0,Pvt Ltd,5.0,7.0,0.0,1.0,2.0,0.0,0.42
city_102,0.804,Unknown,Has relevent experience,no_enrollment,Masters,STEM,21.0,300.0,Pvt Ltd,3.0,164.0,0.0,1.0,3.0,0.0,0.14
city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,20.0,300.0,Unknown,4.0,185.5,0.0,1.0,3.0,0.0,0.2
city_102,0.804,Male,No relevent experience,no_enrollment,High School,Unknown,2.0,9.0,NGO,0.0,145.0,0.0,0.0,0.0,0.0,0.0
city_103,0.92,Unknown,No relevent experience,no_enrollment,Phd,STEM,9.0,300.0,Unknown,1.0,70.0,0.0,1.0,2.0,0.0,0.11
city_21,0.624,Male,No relevent experience,no_enrollment,Unknown,Unknown,3.0,300.0,Unknown,1.0,24.0,0.0,0.0,1.0,0.0,0.33
city_103,0.92,Male,No relevent experience,no_enrollment,Masters,Humanities,3.0,10005.0,Pvt Ltd,1.0,133.0,1.0,0.0,1.0,0.0,0.33
city_11,0.55,Unknown,No relevent experience,Full time course,Graduate,STEM,2.0,300.0,Unknown,1.0,20.0,0.0,1.0,0.0,1.0,0.5
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10.0,9.0,Funded Startup,1.0,76.0,0.0,1.0,2.0,0.0,0.1
city_90,0.698,Female,No relevent experience,Full time course,Masters,STEM,5.0,300.0,Unknown,4.0,21.0,1.0,1.0,1.0,1.0,0.8
city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,Other,8.0,7500.0,Pvt Ltd,2.0,34.0,0.0,0.0,2.0,0.0,0.25
city_160,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,9.0,9.0,Pvt Ltd,2.0,15.0,0.0,1.0,2.0,0.0,0.22
city_57,0.866,Male,No relevent experience,no_enrollment,Graduate,STEM,21.0,300.0,Unknown,5.0,156.0,0.0,1.0,3.0,0.0,0.24
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,7500.0,Pvt Ltd,5.0,15.0,0.0,1.0,3.0,0.0,0.24
city_114,0.9259999999999999,Unknown,Has relevent experience,no_enrollment,Masters,STEM,21.0,300.0,Unknown,0.0,120.0,0.0,1.0,3.0,0.0,0.0
city_157,0.769,Unknown,Has relevent experience,no_enrollment,Graduate,No Major,14.0,10005.0,Unknown,5.0,47.0,0.0,0.0,2.0,0.0,0.36
city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,12.0,300.0,Unknown,2.0,100.0,1.0,1.0,2.0,0.0,0.17
city_67,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,6.0,750.0,Pvt Ltd,0.0,102.0,0.0,1.0,1.0,1.0,0.0
city_103,0.92,Male,No relevent experience,no_enrollment,High School,Unknown,4.0,300.0,Unknown,0.0,52.0,0.0,0.0,1.0,0.0,0.0
city_114,0.9259999999999999,Unknown,Has relevent experience,no_enrollment,High School,Unknown,9.0,10.0,Unknown,4.0,39.0,0.0,0.0,2.0,0.0,0.44
city_103,0.92,Male,Has relevent experience,Full time course,High School,Unknown,4.0,300.0,Unknown,1.0,112.0,1.0,0.0,1.0,1.0,0.25
city_103,0.92,Male,No relevent experience,no_enrollment,Phd,STEM,21.0,75.0,Pvt Ltd,5.0,14.0,0.0,1.0,3.0,0.0,0.24
city_16,0.91,Unknown,Has relevent experience,no_enrollment,Unknown,Unknown,11.0,300.0,Unknown,1.0,4.0,0.0,0.0,2.0,0.0,0.09
city_16,0.91,Unknown,Has relevent experience,no_enrollment,Masters,Arts,21.0,3000.0,NGO,5.0,55.0,0.0,0.0,3.0,0.0,0.24
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6.0,10005.0,Pvt Ltd,4.0,49.0,1.0,1.0,1.0,0.0,0.67
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15.0,300.0,Unknown,5.0,72.0,0.0,1.0,2.0,0.0,0.33
city_89,0.925,Male,Has relevent experience,Full time course,Graduate,STEM,14.0,7500.0,Pvt Ltd,3.0,141.0,1.0,1.0,2.0,1.0,0.21
city_114,0.9259999999999999,Male,No relevent experience,no_enrollment,High School,Unknown,6.0,300.0,Pvt Ltd,0.0,28.0,0.0,0.0,1.0,0.0,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13.0,10005.0,Pvt Ltd,1.0,6.0,0.0,1.0,2.0,0.0,0.08
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,No Major,17.0,7500.0,Pvt Ltd,1.0,125.0,0.0,0.0,3.0,0.0,0.06
city_75,0.9390000000000001,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,21.0,300.0,Unknown,0.0,185.5,0.0,1.0,3.0,0.0,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,21.0,300.0,Pvt Ltd,2.0,33.0,0.0,0.0,3.0,0.0,0.1
city_102,0.804,Unknown,No relevent experience,no_enrollment,Masters,STEM,6.0,10005.0,Pvt Ltd,5.0,40.0,0.0,1.0,1.0,0.0,0.83
city_160,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,18.0,300.0,Unknown,1.0,185.5,1.0,1.0,3.0,0.0,0.06
city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,15.0,10005.0,Pvt Ltd,5.0,55.0,0.0,1.0,2.0,0.0,0.33
city_150,0.698,Male,No relevent experience,no_enrollment,Graduate,STEM,21.0,750.0,Pvt Ltd,5.0,32.0,0.0,1.0,3.0,0.0,0.24
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,21.0,300.0,Pvt Ltd,5.0,11.0,0.0,0.0,3.0,0.0,0.24
city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,9.0,Pvt Ltd,1.0,41.0,0.0,1.0,3.0,0.0,0.05
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,21.0,10005.0,Public Sector,5.0,87.0,1.0,1.0,3.0,0.0,0.24
city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,10.0,300.0,Pvt Ltd,4.0,114.0,0.0,1.0,2.0,0.0,0.4
city_70,0.698,Unknown,Has relevent experience,Unknown,Unknown,Unknown,21.0,300.0,Unknown,5.0,33.0,0.0,0.0,3.0,0.0,0.24
city_90,0.698,Male,Has relevent experience,Part time course,Masters,STEM,5.0,9.0,Early Stage Startup,1.0,15.0,0.0,1.0,1.0,1.0,0.2
city_16,0.91,Unknown,No relevent experience,Full time course,High School,Unknown,3.0,300.0,Unknown,1.0,8.0,0.0,0.0,1.0,1.0,0.33
city_173,0.878,Female,Has relevent experience,Part time course,High School,Unknown,2.0,300.0,NGO,1.0,22.0,0.0,0.0,0.0,1.0,0.5
